,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064
20,35.35,38.25,32.91,31.37,31.57,32.81,32.99,34.02,32.29,29.29,30.31,32.70,34.63,25.41,28.63,32.34,29.72,30.96,31.94,31.25,31.29,29.90,29.21,29.27,30.02,25.98,21.27,24.97,24.97,23.91,18.71,21.25,20.21,19.18,21.78,20.51,19.94,19.29,18.73,18.40,18.00,17.56,17.12,16.78,16.52,16.22,15.87,15.53,15.25,15.05,14.86,14.66,14.48,14.28,14.06,13.81,13.59,13.50,13.37,13.20,13.10,12.95,12.81,12.70,12.49,12.40,12.26,12.05,11.89,11.67,11.44,11.26,11.13,10.99,10.85,10.74,10.63,10.46,10.34,10.28,10.22,10.10,9.93,9.83
21,32.13,34.70,33.35,31.17,30.87,30.01,28.67,31.89,35.73,33.83,30.61,33.26,31.82,32.64,32.10,35.31,37.41,29.68,36.07,29.13,32.74,29.86,28.21,30.37,27.82,25.17,26.68,27.41,26.86,18.41,24.06,19.65,20.31,22.37,22.51,21.26,20.73,20.18,19.62,19.15,18.71,18.27,17.96,17.74,17.38,16.98,16.67,16.38,16.09,15.87,15.60,15.35,15.15,14.93,14.74,14.52,14.33,14.23,14.13,13.94,13.77,13.61,13.41,13.22,13.05,12.96,12.82,12.68,12.53,12.26,12.10,11.99,11.81,11.62,11.43,11.33,11.18,10.89,10.72,10.66,10.54,10.42,10.31,10.19
22,36.30,34.35,28.91,32.01,31.75,36.04,28.09,29.75,32.50,29.45,36.44,31.44,28.96,31.14,31.35,28.86,31.94,33.23,35.82,32.37,30.92,28.30,33.18,29.01,28.13,25.62,26.03,27.21,21.46,20.11,22.65,19.48,21.01,23.72,22.95,21.59,21.24,20.79,20.27,19.79,19.28,18.86,18.56,18.33,18.03,17.68,17.40,17.08,16.73,16.43,16.16,15.95,15.70,15.44,15.22,14.98,14.83,14.70,14.54,14.33,14.20,14.03,13.81,13.61,13.48,13.37,13.22,13.14,13.00,12.80,12.65,12.49,12.33,12.15,12.02,11.94,11.74,11.52,11.36,11.24,11.12,10.94,10.71,10.54
23,40.10,32.23,29.35,31.57,31.32,35.95,31.86,31.50,33.15,29.65,35.82,32.51,27.86,31.14,30.67,34.20,26.50,33.11,26.73,35.25,30.59,30.26,30.88,32.62,30.22,24.64,23.74,24.72,26.40,26.02,25.22,23.29,21.57,24.83,23.43,22.08,21.61,21.16,20.80,20.36,19.90,19.58,19.11,18.69,18.41,18.05,17.76,17.43,17.11,16.82,16.59,16.43,16.16,15.97,15.77,15.50,15.39,15.24,14.94,14.66,14.51,14.38,14.21,14.06,13.91,13.78,13.68,13.53,13.40,13.26,13.06,12.86,12.76,12.65,12.48,12.30,12.16,12.13,11.97,11.80,11.74,11.56,11.28,11.10
24,30.52,37.72,32.60,32.36,31.09,28.66,34.48,33.18,35.06,33.78,33.91,33.32,34.94,31.91,33.55,30.26,38.57,32.50,33.49,35.70,29.97,33.41,28.63,28.37,25.86,28.25,30.27,27.05,22.81,26.22,24.61,22.95,21.26,23.89,24.18,22.72,22.21,21.81,21.51,21.05,20.69,20.49,20.06,19.48,19.08,18.73,18.45,18.16,17.88,17.56,17.31,17.13,16.85,16.64,16.44,16.24,16.15,15.99,15.68,15.38,15.22,15.12,14.93,14.76,14.61,14.46,14.28,14.01,13.92,13.84,13.66,13.41,13.26,13.16,13.00,12.83,12.65,12.57,12.48,12.32,12.21,12.09,11.92,11.74
25,35.60,43.38,39.36,39.26,32.32,31.94,35.41,32.85,36.12,33.37,33.89,34.30,33.48,31.44,30.85,35.73,33.68,38.80,29.14,35.87,31.57,34.98,30.68,32.76,27.55,29.99,24.98,27.70,30.17,24.66,27.82,25.86,25.78,24.99,25.28,23.82,23.47,23.17,22.75,22.24,21.92,21.63,21.26,20.86,20.36,19.98,19.65,19.36,19.12,18.76,18.47,18.20,17.94,17.78,17.50,17.29,17.14,16.95,16.76,16.56,16.38,16.20,15.99,15.80,15.63,15.47,15.27,14.98,14.82,14.68,14.50,14.31,14.12,13.92,13.77,13.67,13.50,13.37,13.29,13.15,12.99,12.88,12.70,12.42
26,44.18,38.76,40.04,40.28,38.70,36.68,36.19,34.42,32.43,38.64,34.13,34.10,40.31,34.23,35.57,37.38,30.29,34.87,35.59,34.89,39.22,32.87,38.13,33.70,32.38,34.13,31.29,31.79,28.60,28.20,28.86,23.54,26.63,27.41,26.99,25.64,25.22,24.83,24.46,24.02,23.65,23.24,22.84,22.55,22.11,21.76,21.35,20.99,20.82,20.48,20.15,19.83,19.52,19.35,19.17,18.89,18.60,18.39,18.22,18.05,17.81,17.56,17.38,17.22,17.02,16.85,16.63,16.32,16.14,15.93,15.68,15.56,15.37,15.18,15.04,14.84,14.63,14.51,14.39,14.25,14.11,13.94,13.77,13.54
27,45.99,43.24,39.76,43.80,34.32,36.70,36.22,36.95,32.88,39.27,40.68,32.30,44.09,38.42,46.63,39.69,31.97,38.35,35.44,38.99,36.84,35.39,35.99,34.46,38.24,31.39,26.59,32.13,31.46,34.52,34.03,29.20,28.93,24.17,29.34,27.86,27.44,27.01,26.58,26.20,25.81,25.36,24.97,24.63,24.25,23.97,23.60,23.23,23.02,22.65,22.27,21.96,21.65,21.41,21.26,21.00,20.65,20.39,20.17,19.97,19.67,19.38,19.24,19.00,18.72,18.57,18.34,18.01,17.86,17.67,17.41,17.22,17.04,16.87,16.63,16.32,16.12,16.02,15.85,15.68,15.48,15.28,15.11,14.99
28,43.80,43.48,44.85,44.48,44.75,39.84,39.80,36.08,42.11,41.87,39.44,41.83,41.38,35.91,36.17,44.29,33.56,39.10,44.86,38.44,34.51,34.25,40.24,36.52,36.12,40.91,31.55,31.70,35.53,37.07,31.84,33.67,34.12,35.15,32.07,30.55,30.18,29.75,29.24,28.84,28.40,27.93,27.64,27.33,26.89,26.49,26.13,25.80,25.54,25.17,24.84,24.55,24.18,23.87,23.58,23.32,23.11,22.79,22.50,22.27,21.94,21.61,21.34,21.03,20.77,20.54,20.27,20.03,19.76,19.55,19.36,19.16,18.97,18.74,18.46,18.17,17.98,17.84,17.63,17.41,17.23,16.98,16.67,16.50
29,46.73,46.59,44.80,49.16,42.35,45.40,45.68,39.62,46.11,40.83,38.79,42.73,38.34,43.43,39.69,41.23,45.67,40.75,37.04,40.40,39.08,39.12,44.56,40.00,37.64,35.15,37.98,37.05,39.32,30.08,33.46,32.89,29.37,33.93,35.03,33.46,33.07,32.66,32.23,31.86,31.37,30.82,30.45,30.14,29.75,29.32,28.83,28.45,28.18,27.85,27.50,27.16,26.76,26.39,26.14,25.90,25.60,25.20,24.87,24.61,24.26,23.90,23.61,23.35,23.14,22.87,22.57,22.30,21.94,21.66,21.40,21.10,20.89,20.71,20.55,20.27,19.93,19.69,19.50,19.29,19.12,18.83,18.42,18.21
30,53.17,53.80,49.19,43.47,52.85,54.22,47.09,42.98,46.26,40.98,41.87,37.81,48.82,45.27,43.44,47.47,42.60,47.71,46.23,45.89,39.94,39.79,48.24,47.10,39.38,41.54,40.74,38.81,40.69,42.41,37.15,34.53,40.81,35.46,38.21,36.51,36.08,35.58,35.12,34.73,34.34,33.87,33.37,32.99,32.66,32.29,31.82,31.31,30.86,30.51,30.10,29.73,29.37,28.97,28.68,28.36,27.96,27.62,27.31,26.91,26.56,26.20,25.93,25.68,25.43,25.21,24.87,24.56,24.28,23.97,23.57,23.20,22.96,22.75,22.52,22.20,21.82,21.54,21.35,21.16,20.90,20.57,20.28,20.14
31,57.50,56.64,52.07,50.78,55.10,50.55,52.86,57.15,53.17,49.04,45.31,50.45,53.63,47.69,46.77,45.52,50.77,48.27,46.19,48.78,48.58,51.06,47.82,45.21,43.53,36.90,39.79,41.85,42.74,38.66,43.24,40.03,42.66,44.13,41.41,39.56,39.07,38.53,38.07,37.62,37.22,36.80,36.34,35.94,35.55,35.15,34.74,34.23,33.69,33.28,32.87,32.45,32.04,31.66,31.22,30.75,30.38,30.09,29.82,29.38,28.96,28.58,28.22,27.92,27.71,27.47,27.07,26.67,26.35,26.06,25.69,25.34,25.07,24.78,24.46,24.18,23.86,23.60,23.37,23.08,22.73,22.42,22.15,21.91
32,54.89,65.69,59.94,53.92,56.78,54.38,61.16,55.45,51.02,53.74,55.51,54.17,55.23,55.30,56.27,57.28,48.41,45.86,47.04,49.16,53.37,49.93,49.27,49.09,48.77,39.90,50.33,52.66,44.01,48.56,44.82,41.34,44.26,41.87,44.70,42.67,42.15,41.60,41.21,40.75,40.24,39.78,39.32,38.86,38.40,37.94,37.47,37.08,36.65,36.14,35.66,35.23,34.80,34.42,33.96,33.47,33.06,32.63,32.22,31.86,31.46,31.02,30.56,30.19,29.97,29.68,29.23,28.77,28.47,28.19,27.84,27.52,27.17,26.79,26.49,26.28,26.00,25.74,25.43,24.99,24.66,24.36,24.05,23.67
33,65.67,64.41,60.37,67.83,59.68,57.92,69.13,57.38,57.47,57.36,54.98,57.67,51.19,60.32,62.79,57.97,52.00,57.41,56.72,56.35,52.65,53.18,52.18,52.47,51.86,53.57,50.58,54.37,46.08,50.22,49.57,45.97,44.69,50.50,48.25,46.04,45.45,44.86,44.42,43.91,43.38,42.87,42.44,41.94,41.50,40.92,40.34,39.97,39.55,39.06,38.59,38.09,37.59,37.21,36.67,36.13,35.72,35.26,34.71,34.31,34.07,33.65,33.08,32.70,32.42,31.96,31.49,31.05,30.70,30.38,29.98,29.68,29.35,28.94,28.56,28.26,28.00,27.72,27.41,27.00,26.67,26.39,26.04,25.68
