,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
32,339539,335634,315560,335164,364630,380891,376526,380513,481843,438832,409390,392704,381367,372715,380761,382554,376891,387625,394805,406809,415327,427861,444671,448943,459478,468093,470759,464430,465348,454765,452373,441416,444964,432809,418452,399543,391787,388296,385156,390862,420578,435420,434707,430806,434309
33,339006,337768,334948,314109,333921,363246,379734,375038,380208,480382,435929,406725,392038,381344,372771,380230,382114,375901,387751,394133,406351,415059,426601,443263,449022,459603,467413,470351,465359,467598,457001,452352,441678,445924,435264,420175,401118,395507,391623,385723,392479,419307,435306,435563,432286
34,334287,337716,337099,333790,312487,332315,362070,378574,374265,379228,477540,433040,405216,391471,381443,371948,379544,380967,375570,386916,393984,406403,414236,425428,442191,448721,458574,466020,470301,467262,469242,456534,452554,441939,448445,436927,421817,404697,398571,392002,387494,391579,419275,436148,437099
35,328103,333263,336624,335819,332076,310617,331070,360932,377896,373026,375754,474219,431872,405334,391231,380834,371138,378294,380502,374621,386069,393775,406198,413798,424544,440699,447421,457506,465775,470495,467910,469541,458234,453130,445532,450662,440602,423204,404889,399225,393012,386492,391241,419462,437332
36,324518,327262,331855,335319,334063,330433,309098,330105,360502,376827,370826,373964,473265,432066,405029,390421,380057,369926,377640,379546,374026,385374,393584,406188,413719,423845,439319,446403,457456,465539,470602,468316,470872,458155,456141,446727,453909,441908,423543,405723,400161,392220,386384,391352,420414
37,313962,323545,326175,330041,333776,331922,329066,307708,330000,360244,374570,368420,372113,473160,431696,404241,389820,379065,368818,377279,379092,373436,384515,393513,406284,413508,422888,438087,446446,457582,465592,470764,469424,470604,460622,457178,449149,455355,442146,424268,406697,399472,391879,386382,392107
38,317341,312974,321967,324449,328561,331812,330528,327625,307452,329386,358328,372220,367063,371814,472827,430987,403763,389047,378400,368724,376454,378216,372877,383932,393820,406514,413061,422098,437787,446374,457675,465891,471972,469217,472440,461025,459133,449717,455768,442887,425323,405867,399591,392113,387285
39,328032,315901,312631,320272,323587,326917,330608,328787,327573,306789,327824,356028,370674,367565,371586,472293,430795,403114,388145,378835,368308,376128,377778,372815,383953,393979,406590,412998,422473,437535,446624,458468,467379,471612,470853,472523,462300,459611,449256,456509,443860,424616,405993,399502,392441
40,332121,327438,315292,311196,318938,322318,326137,329270,328707,326072,304808,326998,355995,371544,367442,371191,472112,430143,402348,388807,378560,367994,375079,377289,373039,383626,394035,406596,413122,421621,435946,449171,458258,465939,472793,469302,471928,461902,460477,447370,455459,442685,424786,405707,399874
41,331708,331675,326056,313854,310420,317896,321837,325117,328744,327674,324277,304056,326293,355350,371109,366531,370378,471134,429910,402698,388135,377789,367708,374715,377044,373043,383193,393931,407261,413353,421350,437921,449131,456876,467001,471294,468503,471065,462012,458585,445586,454295,442618,424496,405771
42,329409,331296,330876,324378,312240,309294,316986,320789,324170,328174,325469,323073,302847,325428,354631,370301,365621,369305,470784,428881,401857,387093,376701,367509,374366,376938,372874,382779,394405,407677,413177,423131,437710,448373,457943,465966,470612,467603,470852,459669,456783,444650,454204,442518,425003
43,328834,328076,330210,329268,323376,311061,308783,316145,320048,323318,326032,324241,321728,301822,324794,353640,369390,364411,368643,469282,428232,400926,386367,375807,367533,373848,376430,372683,382864,395186,407918,414735,422894,436432,449555,457033,465473,469637,467204,468450,457484,455623,444442,454049,443067
44,336876,327408,327477,328442,328063,321785,310131,308250,315160,318756,321055,324519,322962,320585,300894,323910,352388,368130,363328,367647,468755,427482,400048,385759,375337,367500,373463,375776,372835,382818,395265,409009,414477,421745,437264,449090,456800,464890,469266,464776,466094,456408,455394,444432,454825
45,343321,334736,326406,325528,327087,326572,320490,308977,307088,314185,316566,319320,323031,322000,319315,299786,322725,350994,367433,362124,366479,465708,426536,398978,384786,374100,366915,372499,375307,372277,382256,392830,408515,414397,421431,437308,447242,456384,464705,469065,463686,465075,455954,455343,444995
46,342723,341935,332983,324344,324521,325374,325066,319077,307817,305470,311869,314816,317838,321702,320906,317801,298464,321317,349703,365908,360957,366379,463000,425863,398169,383709,372794,366387,371858,374451,371795,379875,392423,407998,413905,421356,435134,447104,456277,464719,468213,462711,464383,455793,455570
47,346576,340713,340128,330769,322894,322863,323754,323608,317710,306142,302841,310094,313265,316457,320453,319554,316197,296953,320216,348030,364634,360300,365872,460897,425068,397023,382554,371672,366124,370898,373948,369055,379467,391902,407110,413788,419428,434674,447418,456460,464223,467094,462066,464096,456082
48,346638,344219,338799,338067,329092,320921,321049,321875,322165,315842,303735,301133,308444,311639,315137,318959,318095,314573,295705,318880,346692,362858,359507,365324,458626,424111,395747,381325,370629,365514,370061,371563,368247,379102,391041,406539,411773,418987,434504,447927,456079,463093,466255,461581,464148
49,367716,345081,342483,336841,336102,327181,318669,318865,320206,320307,313932,302102,299738,307046,310196,313599,317306,316579,312910,294549,317691,345535,361240,358749,364581,456130,422831,394528,380427,369338,364879,367994,370736,367341,378363,390445,404255,411179,418801,434456,447778,454825,462096,465883,461581
50,381534,365085,343623,339980,333859,333494,324762,316334,316974,318117,318090,312303,300563,298232,305500,308684,311872,315576,315199,311567,293191,315825,344115,359269,358013,363945,453136,421561,393111,379263,367205,363671,367084,368843,366691,377145,389369,404005,410671,417594,433173,446615,453909,461548,465548
51,398996,378102,362776,340854,336944,331112,330771,322232,314328,314911,316014,316160,310401,298654,296850,303796,306844,310056,313923,313788,309981,292447,314135,342713,357646,357148,362955,450251,420342,391939,377400,366077,362144,365446,368285,365064,376168,389316,403134,409265,416388,432047,445463,453143,461048
