Age,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
48,358283,353293,344729,342055,332875,325110,325099,328196,323458,315188,303855,299642,306562,310951,313608,317454,318634,313968,296003,318229,346743,362797,361635,367287,460339,428901,399928,387202,375407,372125,375598,378709,375753,385423,398016,410552,417781,425828,442076,456219,466410,476069,480288,476492,474510
49,379170,356750,351395,342930,340264,331364,323888,324221,327130,322683,314067,302696,298712,305620,310160,312584,316557,317811,313171,295227,317667,346190,361766,361563,366996,458644,428205,399090,386669,375099,371345,374667,377950,374573,384849,397112,409863,417459,425096,440998,455551,465927,475837,480500,476841
50,398881,377075,354945,349538,340654,338428,329912,322730,323191,326176,321190,312704,301516,297696,304626,309037,311270,315362,316784,312099,294363,316796,345402,360599,360933,366864,456685,427365,398235,386342,374125,370394,373302,376422,373244,383841,395882,409125,416516,424058,440842,454930,465461,475816,480584
51,418097,396799,375179,352865,347266,338883,336767,328227,321486,321942,324856,319934,311289,300380,296821,303491,307791,310130,314425,315909,311059,294360,316028,344854,359343,360433,366451,454843,426429,397825,385345,373365,368560,371985,375185,372112,382663,395167,408037,415516,423843,440096,454378,465278,475891
52,289555,415614,394570,372966,350656,345184,337096,334782,326611,319848,320446,323333,318575,309928,299230,295738,302054,306592,309015,313352,314982,310429,294183,315034,343784,358028,359781,366091,452710,425918,396480,384382,371600,366662,370915,373943,370610,382073,394077,406685,415362,423069,439386,454044,464911
53,280272,287687,413364,392120,370405,348415,343280,334845,332937,324741,318101,318799,321807,317328,308549,297834,294274,300646,305372,307748,312337,314022,309453,293646,313963,342834,356718,358948,365490,451241,424596,395348,382552,369803,365124,369852,372400,369645,381097,392791,406193,414496,422128,438924,453646
54,310030,278009,285804,410582,389357,367980,346357,340937,332767,330960,322872,316083,317024,320167,316003,306906,296300,292931,299225,303988,306360,311541,313038,308748,293575,312708,341739,354867,358469,365913,447625,422887,393373,380637,368265,363594,368509,371483,368369,379806,392445,405347,413566,421518,438360
55,330864,308543,275735,283582,407596,386968,365719,343802,338452,330773,328740,320911,314283,315264,318553,314640,305134,294778,291649,297659,302545,305444,310397,311936,307551,292980,311505,340584,353466,357737,365035,447175,419800,391486,378711,366927,362405,366607,370645,367396,378976,391517,404505,412982,420874
56,357145,328486,306008,273418,281635,405054,384345,362894,341351,336129,328066,326490,318668,312470,313367,316743,312937,303263,293037,289893,295963,301425,304497,309202,310596,306622,292621,310094,339442,351658,356736,363024,445227,417051,389331,377160,365814,359955,365945,369575,366310,377901,390486,403730,412272
57,359999,354694,325863,303296,271089,279371,402092,381388,360251,338784,332926,325768,324216,316592,310444,311439,314676,310908,301350,291044,288134,294369,299870,302990,307569,309193,305218,291406,308737,338098,349997,354814,359918,443755,414283,387678,375745,363464,358689,364964,368363,365141,376725,389644,403022
